City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,fort nelson,58.8053,-122.7002,254.92,78,75,2.06,CA,1670093556
355,te anau,-45.4167,167.7167,283.66,82,100,3.06,NZ,1670093556
356,geraldton,-28.7667,114.6,293.38,83,100,5.66,AU,1670093265
357,matagami,49.7502,-77.6328,267.21,86,100,12.35,CA,1670093257
358,tautira,-17.7333,-149.15,299.51,80,68,8.3,PF,1670093557
359,hasaki,35.7333,140.8333,275.37,70,100,4.78,JP,1670093557
360,penzance,50.1186,-5.5371,279.53,77,100,8.87,GB,1670093558
361,carayao,-25.1833,-56.4,298.23,88,100,1.76,PY,1670093558
362,gamba,-2.65,10.0,297.94,86,98,1.79,GA,1670093558
363,tezu,27.9167,96.1667,289.79,39,0,1.94,IN,1670093269
364,burnie,-41.0667,145.9167,285.34,94,39,2.42,AU,1670093559
365,la rioja,42.25,-2.5,272.03,91,14,1.53,ES,1670093559
